NaN,1.98
NaN,1.16
NaN,1.12
26.8,3.03
NaN,1.51
10.7,1.23
NaN,NaN
NaN,2.59
NaN,NaN
18.4,NaN
23,2.63
34.9,NaN
15.1,1.71
NaN,1.55
17.5,NaN
21.5,1.31
NaN,NaN
30.9,NaN
NaN,2.03
32.7,NaN
28.3,2.67
39.8,2.73
32.2,2.63
34,NaN
NaN,NaN
NaN,2.5
NaN,NaN
NaN,2.2
32.4,NaN
32.6,2.61
39.9,2.43
NaN,NaN
30.3,NaN
32.3,NaN
NaN,2.91
NaN,2.5
37.5,2.64
36.7,2.77
NaN,NaN
NaN,NaN
30.1,2.92
NaN,NaN
NaN,NaN
36.7,3.02
42,2.85
31.8,NaN
28.5,NaN
30.4,3.35
NaN,2.82
30.2,NaN
NaN,2.17
22.1,NaN
NaN,2.49
33.9,NaN
NaN,1.15
NaN,NaN
NaN,2.4
30.6,NaN
NaN,2.68
NaN,NaN
NaN,2.35
26.4,NaN
28.4,NaN
24.6,2.11
NaN,NaN
33.4,NaN
NaN,2.62
24.5,NaN
24.2,NaN
NaN,NaN
NaN,NaN
19.8,NaN
NaN,3.25
NaN,2.27
34.7,2.57
32.1,2.64
15.3,NaN
NaN,NaN
33.6,NaN
35.2,2.48
33.8,NaN
NaN,2.5
NaN,NaN
29.8,2.19
NaN,2.36
36.6,NaN
35.1,2.58
44.2,NaN
28,NaN
NaN,2.42
NaN,2.94
NaN,2.69
27.7,NaN
33,2.59
28.2,1.88
30.9,NaN
36.8,2.27
28.6,2.79
NaN,3.36
26,2.18
33.5,NaN
26.5,NaN
32.6,2.62
36.7,2.32
42.8,2.27
NaN,NaN
NaN,2.64
30.5,2.37
NaN,3.48
29.3,NaN
NaN,2.9
32.8,3
38,2.37
NaN,2.93
24.3,NaN
NaN,2.75
NaN,2.44
13.7,2.38
26.2,3.05
31.5,NaN
24.9,NaN
NaN,NaN
NaN,NaN
33.9,NaN
NaN,2.08
32.1,2.51
27.1,3.34
38.2,2.71
NaN,2.52
21,2.4
31.7,2.53
40.6,NaN
NaN,2.15
NaN,NaN
NaN,2.61
NaN,NaN
30.7,NaN
25.5,NaN
NaN,2.18
35.4,2.59
NaN,NaN
28.8,2.99
31.2,NaN
NaN,3.55
22.5,1.69
30.1,NaN
34.2,NaN
34.1,NaN
NaN,NaN
31.1,NaN
NaN,2.51
33.3,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,2.6
32.1,2.38
33.9,NaN
28.2,2.17
NaN,2.11
NaN,2.22
NaN,2.21
25.8,1.79
NaN,2.26
34.7,2.43
26.1,3.28
36.6,2.41
NaN,2.56
28.6,NaN
27.1,2.64
NaN,2.56
NaN,NaN
NaN,2.73
29.6,2.22
37.8,NaN
NaN,2.61
33.2,2.48
33.4,2.52
NaN,2.5
41.6,2.84
29.1,NaN
NaN,3.24
NaN,2.84
34.3,2.55
NaN,2.5
NaN,2.67
NaN,2.06
NaN,2.24
20.6,NaN
NaN,NaN
36.3,2.61
35.9,NaN
NaN,NaN
NaN,2.23
35.3,2.46
32.8,NaN
32.9,2.54
31.5,NaN
NaN,2.67
NaN,NaN
30.4,NaN
NaN,2.03
NaN,NaN
NaN,2.12
NaN,3.41
NaN,1.33
19.4,1.23
NaN,1.34
20.5,NaN
NaN,1.74
NaN,2.59
NaN,1.42
